pagina,categoria,presentes,tachados,escapados,sobre_tachado,revisor,observacion_sin_texto
1,NOMBRE,6,5,1,,pipeline+capa_texto,residuo_capa_texto_omitido_del_corpus
1,CEDULA,1,1,0,,pipeline+capa_texto,
1,HC,0,0,0,,pipeline+capa_texto,
1,TELEFONO,0,0,0,,pipeline+capa_texto,
1,EMAIL,0,0,0,,pipeline+capa_texto,
1,FECHA,0,0,0,,pipeline+capa_texto,
1,DIRECCION,1,1,0,,pipeline+capa_texto,
2,NOMBRE,12,9,3,,pipeline+capa_texto,residuo_capa_texto_omitido_del_corpus
2,CEDULA,0,0,0,,pipeline+capa_texto,
2,HC,0,0,0,,pipeline+capa_texto,
2,TELEFONO,0,0,0,,pipeline+capa_texto,
2,EMAIL,0,0,0,,pipeline+capa_texto,
2,FECHA,0,0,0,,pipeline+capa_texto,
2,DIRECCION,0,0,0,,pipeline+capa_texto,
3,NOMBRE,1,1,0,,pipeline+capa_texto,
3,CEDULA,0,0,0,,pipeline+capa_texto,
3,HC,1,1,0,,pipeline+capa_texto,
3,TELEFONO,0,0,0,,pipeline+capa_texto,
3,EMAIL,0,0,0,,pipeline+capa_texto,
3,FECHA,0,0,0,,pipeline+capa_texto,
3,DIRECCION,0,0,0,,pipeline+capa_texto,
4,NOMBRE,3,2,1,,pipeline+capa_texto,residuo_capa_texto_omitido_del_corpus
4,CEDULA,0,0,0,,pipeline+capa_texto,
4,HC,2,2,0,,pipeline+capa_texto,
4,TELEFONO,0,0,0,,pipeline+capa_texto,
4,EMAIL,0,0,0,,pipeline+capa_texto,
4,FECHA,0,0,0,,pipeline+capa_texto,
4,DIRECCION,0,0,0,,pipeline+capa_texto,
5,NOMBRE,6,6,0,,pipeline+capa_texto,
5,CEDULA,0,0,0,,pipeline+capa_texto,
5,HC,0,0,0,,pipeline+capa_texto,
5,TELEFONO,0,0,0,,pipeline+capa_texto,
5,EMAIL,0,0,0,,pipeline+capa_texto,
5,FECHA,0,0,0,,pipeline+capa_texto,
5,DIRECCION,0,0,0,,pipeline+capa_texto,
6,NOMBRE,7,6,1,,pipeline+capa_texto,residuo_capa_texto_omitido_del_corpus
6,CEDULA,0,0,0,,pipeline+capa_texto,
6,HC,0,0,0,,pipeline+capa_texto,
6,TELEFONO,0,0,0,,pipeline+capa_texto,
6,EMAIL,0,0,0,,pipeline+capa_texto,
6,FECHA,0,0,0,,pipeline+capa_texto,
6,DIRECCION,0,0,0,,pipeline+capa_texto,
7,NOMBRE,9,8,1,,pipeline+capa_texto,residuo_capa_texto_omitido_del_corpus
7,CEDULA,0,0,0,,pipeline+capa_texto,
7,HC,1,1,0,,pipeline+capa_texto,
7,TELEFONO,0,0,0,,pipeline+capa_texto,
7,EMAIL,0,0,0,,pipeline+capa_texto,
7,FECHA,0,0,0,,pipeline+capa_texto,
7,DIRECCION,0,0,0,,pipeline+capa_texto,
8,NOMBRE,10,10,0,,pipeline+capa_texto,
8,CEDULA,2,2,0,,pipeline+capa_texto,
8,HC,0,0,0,,pipeline+capa_texto,
8,TELEFONO,0,0,0,,pipeline+capa_texto,
8,EMAIL,0,0,0,,pipeline+capa_texto,
8,FECHA,0,0,0,,pipeline+capa_texto,
8,DIRECCION,0,0,0,,pipeline+capa_texto,
9,NOMBRE,8,7,1,,pipeline+capa_texto,residuo_capa_texto_omitido_del_corpus
9,CEDULA,0,0,0,,pipeline+capa_texto,
9,HC,2,2,0,,pipeline+capa_texto,
9,TELEFONO,0,0,0,,pipeline+capa_texto,
9,EMAIL,0,0,0,,pipeline+capa_texto,
9,FECHA,0,0,0,,pipeline+capa_texto,
9,DIRECCION,0,0,0,,pipeline+capa_texto,
10,NOMBRE,3,3,0,,pipeline+capa_texto,pagina_manuscrito_conf_ocr_baja
10,CEDULA,0,0,0,,pipeline+capa_texto,pagina_manuscrito_conf_ocr_baja
10,HC,0,0,0,,pipeline+capa_texto,pagina_manuscrito_conf_ocr_baja
10,TELEFONO,0,0,0,,pipeline+capa_texto,pagina_manuscrito_conf_ocr_baja
10,EMAIL,0,0,0,,pipeline+capa_texto,pagina_manuscrito_conf_ocr_baja
10,FECHA,0,0,0,,pipeline+capa_texto,pagina_manuscrito_conf_ocr_baja
10,DIRECCION,0,0,0,,pipeline+capa_texto,pagina_manuscrito_conf_ocr_baja
11,NOMBRE,1,1,0,,pipeline+capa_texto,
11,CEDULA,0,0,0,,pipeline+capa_texto,
11,HC,0,0,0,,pipeline+capa_texto,
11,TELEFONO,0,0,0,,pipeline+capa_texto,
11,EMAIL,0,0,0,,pipeline+capa_texto,
11,FECHA,0,0,0,,pipeline+capa_texto,
11,DIRECCION,0,0,0,,pipeline+capa_texto,
12,NOMBRE,10,10,0,,pipeline+capa_texto,
12,CEDULA,0,0,0,,pipeline+capa_texto,
12,HC,0,0,0,,pipeline+capa_texto,
12,TELEFONO,0,0,0,,pipeline+capa_texto,
12,EMAIL,0,0,0,,pipeline+capa_texto,
12,FECHA,0,0,0,,pipeline+capa_texto,
12,DIRECCION,0,0,0,,pipeline+capa_texto,
13,NOMBRE,2,2,0,,pipeline+capa_texto,
13,CEDULA,0,0,0,,pipeline+capa_texto,
13,HC,0,0,0,,pipeline+capa_texto,
13,TELEFONO,0,0,0,,pipeline+capa_texto,
13,EMAIL,0,0,0,,pipeline+capa_texto,
13,FECHA,0,0,0,,pipeline+capa_texto,
13,DIRECCION,0,0,0,,pipeline+capa_texto,
14,NOMBRE,11,8,3,,pipeline+capa_texto,residuo_capa_texto_omitido_del_corpus
14,CEDULA,0,0,0,,pipeline+capa_texto,
14,HC,1,1,0,,pipeline+capa_texto,
14,TELEFONO,0,0,0,,pipeline+capa_texto,
14,EMAIL,0,0,0,,pipeline+capa_texto,
14,FECHA,0,0,0,,pipeline+capa_texto,
14,DIRECCION,0,0,0,,pipeline+capa_texto,
15,NOMBRE,11,11,0,,pipeline+capa_texto,
15,CEDULA,0,0,0,,pipeline+capa_texto,
15,HC,0,0,0,,pipeline+capa_texto,
15,TELEFONO,0,0,0,,pipeline+capa_texto,
15,EMAIL,0,0,0,,pipeline+capa_texto,
15,FECHA,0,0,0,,pipeline+capa_texto,
15,DIRECCION,0,0,0,,pipeline+capa_texto,
16,NOMBRE,7,7,0,,pipeline+capa_texto,
16,CEDULA,1,1,0,,pipeline+capa_texto,
16,HC,1,1,0,,pipeline+capa_texto,
16,TELEFONO,0,0,0,,pipeline+capa_texto,
16,EMAIL,0,0,0,,pipeline+capa_texto,
16,FECHA,0,0,0,,pipeline+capa_texto,
16,DIRECCION,0,0,0,,pipeline+capa_texto,
17,NOMBRE,6,6,0,,pipeline+capa_texto,
17,CEDULA,2,2,0,,pipeline+capa_texto,
17,HC,1,1,0,,pipeline+capa_texto,
17,TELEFONO,0,0,0,,pipeline+capa_texto,
17,EMAIL,0,0,0,,pipeline+capa_texto,
17,FECHA,0,0,0,,pipeline+capa_texto,
17,DIRECCION,0,0,0,,pipeline+capa_texto,
18,NOMBRE,6,6,0,,pipeline+capa_texto,
18,CEDULA,1,1,0,,pipeline+capa_texto,
18,HC,0,0,0,,pipeline+capa_texto,
18,TELEFONO,0,0,0,,pipeline+capa_texto,
18,EMAIL,0,0,0,,pipeline+capa_texto,
18,FECHA,0,0,0,,pipeline+capa_texto,
18,DIRECCION,0,0,0,,pipeline+capa_texto,
19,NOMBRE,4,4,0,,pipeline+capa_texto,
19,CEDULA,1,1,0,,pipeline+capa_texto,
19,HC,0,0,0,,pipeline+capa_texto,
19,TELEFONO,0,0,0,,pipeline+capa_texto,
19,EMAIL,0,0,0,,pipeline+capa_texto,
19,FECHA,0,0,0,,pipeline+capa_texto,
19,DIRECCION,0,0,0,,pipeline+capa_texto,
20,NOMBRE,5,3,2,,pipeline+capa_texto,residuo_capa_texto_omitido_del_corpus
20,CEDULA,2,2,0,,pipeline+capa_texto,
20,HC,3,3,0,,pipeline+capa_texto,
20,TELEFONO,0,0,0,,pipeline+capa_texto,
20,EMAIL,0,0,0,,pipeline+capa_texto,
20,FECHA,0,0,0,,pipeline+capa_texto,
20,DIRECCION,0,0,0,,pipeline+capa_texto,
