pagina,categoria,presentes,tachados,escapados,sobre_tachado,revisor,observacion_sin_texto
1,NOMBRE,,,,,,
1,CEDULA,,,,,,
1,HC,,,,,,
1,TELEFONO,,,,,,
1,EMAIL,,,,,,
1,FECHA,,,,,,
1,DIRECCION,,,,,,
2,NOMBRE,,,,,,
2,CEDULA,,,,,,
2,HC,,,,,,
2,TELEFONO,,,,,,
2,EMAIL,,,,,,
2,FECHA,,,,,,
2,DIRECCION,,,,,,
3,NOMBRE,,,,,,
3,CEDULA,,,,,,
3,HC,,,,,,
3,TELEFONO,,,,,,
3,EMAIL,,,,,,
3,FECHA,,,,,,
3,DIRECCION,,,,,,
4,NOMBRE,,,,,,
4,CEDULA,,,,,,
4,HC,,,,,,
4,TELEFONO,,,,,,
4,EMAIL,,,,,,
4,FECHA,,,,,,
4,DIRECCION,,,,,,
5,NOMBRE,,,,,,
5,CEDULA,,,,,,
5,HC,,,,,,
5,TELEFONO,,,,,,
5,EMAIL,,,,,,
5,FECHA,,,,,,
5,DIRECCION,,,,,,
6,NOMBRE,,,,,,
6,CEDULA,,,,,,
6,HC,,,,,,
6,TELEFONO,,,,,,
6,EMAIL,,,,,,
6,FECHA,,,,,,
6,DIRECCION,,,,,,
7,NOMBRE,,,,,,
7,CEDULA,,,,,,
7,HC,,,,,,
7,TELEFONO,,,,,,
7,EMAIL,,,,,,
7,FECHA,,,,,,
7,DIRECCION,,,,,,
8,NOMBRE,,,,,,
8,CEDULA,,,,,,
8,HC,,,,,,
8,TELEFONO,,,,,,
8,EMAIL,,,,,,
8,FECHA,,,,,,
8,DIRECCION,,,,,,
9,NOMBRE,,,,,,
9,CEDULA,,,,,,
9,HC,,,,,,
9,TELEFONO,,,,,,
9,EMAIL,,,,,,
9,FECHA,,,,,,
9,DIRECCION,,,,,,
10,NOMBRE,,,,,,
10,CEDULA,,,,,,
10,HC,,,,,,
10,TELEFONO,,,,,,
10,EMAIL,,,,,,
10,FECHA,,,,,,
10,DIRECCION,,,,,,
11,NOMBRE,,,,,,
11,CEDULA,,,,,,
11,HC,,,,,,
11,TELEFONO,,,,,,
11,EMAIL,,,,,,
11,FECHA,,,,,,
11,DIRECCION,,,,,,
12,NOMBRE,,,,,,
12,CEDULA,,,,,,
12,HC,,,,,,
12,TELEFONO,,,,,,
12,EMAIL,,,,,,
12,FECHA,,,,,,
12,DIRECCION,,,,,,
13,NOMBRE,,,,,,
13,CEDULA,,,,,,
13,HC,,,,,,
13,TELEFONO,,,,,,
13,EMAIL,,,,,,
13,FECHA,,,,,,
13,DIRECCION,,,,,,
14,NOMBRE,,,,,,
14,CEDULA,,,,,,
14,HC,,,,,,
14,TELEFONO,,,,,,
14,EMAIL,,,,,,
14,FECHA,,,,,,
14,DIRECCION,,,,,,
15,NOMBRE,,,,,,
15,CEDULA,,,,,,
15,HC,,,,,,
15,TELEFONO,,,,,,
15,EMAIL,,,,,,
15,FECHA,,,,,,
15,DIRECCION,,,,,,
16,NOMBRE,,,,,,
16,CEDULA,,,,,,
16,HC,,,,,,
16,TELEFONO,,,,,,
16,EMAIL,,,,,,
16,FECHA,,,,,,
16,DIRECCION,,,,,,
17,NOMBRE,,,,,,
17,CEDULA,,,,,,
17,HC,,,,,,
17,TELEFONO,,,,,,
17,EMAIL,,,,,,
17,FECHA,,,,,,
17,DIRECCION,,,,,,
18,NOMBRE,,,,,,
18,CEDULA,,,,,,
18,HC,,,,,,
18,TELEFONO,,,,,,
18,EMAIL,,,,,,
18,FECHA,,,,,,
18,DIRECCION,,,,,,
19,NOMBRE,,,,,,
19,CEDULA,,,,,,
19,HC,,,,,,
19,TELEFONO,,,,,,
19,EMAIL,,,,,,
19,FECHA,,,,,,
19,DIRECCION,,,,,,
20,NOMBRE,,,,,,
20,CEDULA,,,,,,
20,HC,,,,,,
20,TELEFONO,,,,,,
20,EMAIL,,,,,,
20,FECHA,,,,,,
20,DIRECCION,,,,,,
